"species_id","common_name","nom_commun","MAT_min","MAT_max","MAP_min","MAP_max","growth_model","surv_model","recruit_model"
"ABIBAL","Balsam fir","Sapin baumier",-5.2,9,433,1859,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"ACERUB","Red maple","Erable rouge",-1.5,24.7,436,2688,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"ACESAC","Sugar maple","Erable a sucre",-0.5,16.7,443,1944,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"BETALL","Yellow birch","Bouleau jaune",-1.4,15.1,529,2177,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"BETPAP","White birch","Bouleau blanc",-5,13.5,395,1859,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"CARGLA","Pignut hickory","Caryer glabre",6.3,23.3,630.7,2326,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"CARTOM","Mockernut hickory","Caryer tomenteux",6.7,21.7,589,2233,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"FAGGRA","American beech","Hetre a grandes feuilles",-0.6,20.9,575,2311,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"FRAAME","White ash","Frene blanc",0.5,23.3,574,2158,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"FRANIG","Black ash","Frene noir",0.1,12.9,319.6,1675,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"FRAPEN","Green ash","Frene rouge",2.1,22.9,274,2311,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"JUNVIR","Eastern red cedar","Genevrier de Virginie",4.2,23.4,292,2003,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"LIQSTY","Sweetgum","Copalme d'Amerique",11.1,23.5,659,2233,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"LIRTUL","Tulip tree","Tulipier de Virginie",6.4,21.6,679,2399,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"NYSSYL","Black gum","Nysse sylvestre",6.7,23.1,634,2688,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"PICGLA","White spruce","Epicea blanc",-4.4,10.1,480,1734,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"PICMAR","Black spruce","Epicea noir",-5.6,9.2,438,1729,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"PICRUB","Red spruce","Epicea rouge",-2.2,13.3,649.8,1859,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"PINBAN","Jack pine","Pin gris",-4.2,9.3,436,1391.4,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"PINSTR","Eastern white pine","Pin blanc",-2.8,16.4,464,2688,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"POPGRA","Bigtooth aspen","Peuplier a grandes dents",-0.8,14.4,480,1676,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"POPTRE","Trembling aspen","Peuplier faux-tremble",-3.9,12.1,396,1629,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"PRUSER","Black cherry","Cerisier tardif",-0.4,22.8,345,2230,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"QUEALB","White oak","Chene blanc",2.8,21.8,590,2688,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"QUEPRI","Chestnut oak","Chene chataignier",5.8,18.1,671,2544,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"QUERUB","Northern red oak","Chene rouge",1.2,19.7,464,2544,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"QUESTE","Post oak","Chene etoile",10.8,22.6,375,2085,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"QUEVEL","Black oak","Chene velutineux",5.4,20.4,567,2399,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"THUOCC","Eastern white cedar","Thuya occidental",-1.3,13.2,433,1474.8,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"TILAME","American basswood","Tilleul d'Amerique",1.6,23.3,436,2177,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
"TSUCAN","Eastern hemlock","Tsuga du Canada",-0.3,16.3,580,2688,"intcpt_plot_comp_cl","intcpt_plot_comp_cl","intcpt_plot_comp_clim"
