"mean" "lo2.5" "up97.5"
"psi" 325.081430498586 144.435321420325 507.420578920385
"T_opt" 0.451789811462179 -15.6786568790786 16.2913344600071
"sigmaT_opt" 4.54390609745363 0.0712105495034016 22.9730488059094
"P_opt" 0.863971697907286 -15.2604690138895 16.5649428652898
"sigmaP_opt" 4.52892459316996 0.0824671711592884 21.8689068252459
"Lo" 0.204894471676194 0.11832840025759 0.417021473107828
"Mid" 1.95839732517482 -52.2453658173028 53.7459445544745
"Beta" 1.55913129639343 0.0491311454314954 4.48876068448317
"phi" 0.971674098280459 0.0454085153658965 1.94516878710137
"theta" 0.493453066289199 0.0247761037237323 0.972162292920674
"DBH001" 142.136239652775 18.5885400707004 317.643033058663
