species_id,temp,prec
18032ABIBAL,0.02,0.15
18034PICRUB,0.12,0.23
18048JUNVIR,0.9400000000000001,0.09
18086LIRTUL,0.88,0.24
183295PICGLA,0.04,0.16
183302PICMAR,0,0.15
183319PINBAN,0.05,0.5
183385PINSTR,0.1,0.16
183397TSUCAN,0.71,1
19027LIQSTY,0.9400000000000001,0.23
19049ULMAME,0.24,0.09
19231CARGLA,0.9400000000000001,0.86
19290QUEALB,0.28,0.21
19408QUERUB,0.8200000000000001,0.16
19422QUESTE,0.54,0.12
19447QUEVEL,0.84,0.2
19462FAGGRA,0.17,0.85
19481BETALL,0.67,0.18
19489BETPAP,0.62,0.68
19511OSTVIR,0.92,0.17
195773POPTRE,0.06,0.13
21536TILAME,0.9400000000000001,0.8
22463POPGRA,0.16,0.16
24764PRUSER,0.92,0.11
24799PRUPEN,0.11,0.65
26879PROGLA,0.98,0
27821NYSSYL,0.93,1
28728ACERUB,0.98,1
28731ACESAC,0.17,0.71
32929FRAPEN,0.92,0.85
32931FRAAME,0.9400000000000001,0.79
32945FRANIG,0.19,0.61
505490THUOCC,0.14,0.15
NACARALB,0.88,0.2
NAQUEPRI,0.38,0.9400000000000001
